Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 0
Current messages : 55

Jun  2 2026 12:50:35 PJGFA-SL-01 %%01NVO3/4/NVO3_TUNNEL_DEL(l):CID=0x81a10452;The IPv4 VXLAN tunnel was deleted. (SourceIpAddress=2.1.2.1, DestinationIpAddress=2.1.5.2)
Jun  2 2026 12:48:35 PJGFA-SL-01 %%01NVO3/4/NVO3_TUNNEL_DOWN(l):CID=0x81a10452;The status of the vxlan tunnel changed to down. (SourceIpAddress=2.1.2.1, DestinationIpAddress=2.1.5.1, TunnelStatus=DOWN) 
Jun  2 2026 12:48:15 PJGFA-SL-01 %%01NVO3/4/NVO3_TUNNEL_UP(l):CID=0x81a10452;The status of the vxlan tunnel changed to up. (SourceIpAddress=2.1.2.1, DestinationIpAddress=2.1.5.2, TunnelStatus=UP) 
Jun  2 2026 12:48:15 PJGFA-SL-01 %%01NVO3/4/NVO3_TUNNEL_DOWN(l):CID=0x81a10452;The status of the vxlan tunnel changed to down. (SourceIpAddress=2.1.2.1, DestinationIpAddress=2.1.5.2, TunnelStatus=DOWN) 
Jun  2 2026 12:48:15 PJGFA-SL-01 %%01NVO3/2/IPv4VxlanTunnelDown_clear(l):CID=0x81a10452-alarmID=0x0a112005-clearType=service_resume;The IPv4 vxlan tunnel status changes. (SourceIpAddress=2.1.2.1, DestinationIpAddress=2.1.5.2, TunnelStatus=UP)
Jun  2 2026 12:48:14 PJGFA-SL-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x80130455-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=2.1.1.1, BgpPeerLastError=0 , BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=)
Jun  2 2026 12:48:14 PJGFA-SL-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x80130455;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=2.1.1.1, BgpPeerLastError=0, BgpPeerState=6,VpnInstance=_public_)
Jun  2 2026 12:48:08 PJGFA-SL-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x80130455-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=2.1.1.2, BgpPeerLastError=0 , BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=)
Jun  2 2026 12:48:08 PJGFA-SL-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x80130455;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=2.1.1.2, BgpPeerLastError=0, BgpPeerState=6,VpnInstance=_public_)
Jun  2 2026 12:48:07 PJGFA-SL-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045f;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  2 2026 12:48:04 PJGFA-SL-01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a5045f;Neighbor information of the interface was changed. (Interface=GE1/0/1, Action=added, Added=1, Deleted=0, RemoteInterfaceName=GE1/0/3, RemoteDeviceManageAddress=2.1.1.1)
Jun  2 2026 12:48:04 PJGFA-SL-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045f;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/1, RemoteChassisType=macAddress, RemoteChassisId=3812-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/3, RemoteSystemName=PJGFA-S-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=2.1.1.1)
Jun  2 2026 12:48:03 PJGFA-SL-01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a5045f;Neighbor information of the interface was changed. (Interface=GE1/0/3, Action=added, Added=1, Deleted=0, RemoteInterfaceName=GE1/0/0, RemoteDeviceManageAddress=20.1.1.10)
Jun  2 2026 12:48:03 PJGFA-SL-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045f;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/3, RemoteChassisType=macAddress, RemoteChassisId=380b-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/0, RemoteSystemName=PJGFA-PC1, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=20.1.1.10)
Jun  2 2026 12:48:03 PJGFA-SL-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045f;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  2 2026 12:47:35 PJGFA-SL-01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a5045f;Neighbor information of the interface was changed. (Interface=GE1/0/2, Action=added, Added=1, Deleted=0, RemoteInterfaceName=GE1/0/3, RemoteDeviceManageAddress=2.1.1.2)
Jun  2 2026 12:47:35 PJGFA-SL-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045f;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/2, RemoteChassisType=macAddress, RemoteChassisId=380c-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/3, RemoteSystemName=PJGFA-S-02, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=2.1.1.2)
Jun  2 2026 12:47:35 PJGFA-SL-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045f;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  2 2026 12:47:28 PJGFA-SL-01 %%01CONFIGURATION/3/ROLLBACK_FAIL(l):CID=0x80cb000c;Configuration rollback finished, but some warnings occurred or there are still several differences.
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01L3VPN/2/L3V_TRAP_VRF_DOWN_clear(l):CID=0x806f7535-alarmID=0x09110000-clearType=service_resume;The interface bound to the VPN instance went Up. (VpnInstanceName=vpn6, IfName=Vbdif60, IfCurRowStatus=1, VRFOperationStatus=1)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01L3VPN/2/L3V_TRAP_VRF_DOWN_clear(l):CID=0x806f7535-alarmID=0x09110000-clearType=service_resume;The interface bound to the VPN instance went Up. (VpnInstanceName=vpn5, IfName=Vbdif50, IfCurRowStatus=1, VRFOperationStatus=1)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01L3VPN/2/L3V_TRAP_VRF_DOWN_clear(l):CID=0x806f7535-alarmID=0x09110000-clearType=service_resume;The interface bound to the VPN instance went Up. (VpnInstanceName=vpn4, IfName=Vbdif40, IfCurRowStatus=1, VRFOperationStatus=1)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01L3VPN/2/L3V_TRAP_VRF_DOWN_clear(l):CID=0x806f7535-alarmID=0x09110000-clearType=service_resume;The interface bound to the VPN instance went Up. (VpnInstanceName=vpn3, IfName=Vbdif30, IfCurRowStatus=1, VRFOperationStatus=1)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01L3VPN/2/L3V_TRAP_VRF_DOWN_clear(l):CID=0x806f7535-alarmID=0x09110000-clearType=service_resume;The interface bound to the VPN instance went Up. (VpnInstanceName=vpn2, IfName=Vbdif20, IfCurRowStatus=1, VRFOperationStatus=1)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01L3VPN/2/L3V_TRAP_VRF_DOWN_clear(l):CID=0x806f7535-alarmID=0x09110000-clearType=service_resume;The interface bound to the VPN instance went Up. (VpnInstanceName=vpn1, IfName=Vbdif10, IfCurRowStatus=1, VRFOperationStatus=1)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vbdif60, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vbdif60)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vbdif50, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vbdif50)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vbdif40, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vbdif40)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vbdif30, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vbdif30)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vbdif20, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vbdif20)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vbdif10, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vbdif10)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/3.6, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/3)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/3.5, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/3)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/3.4, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/3)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/3.3, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/3)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/3.2, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/3)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/3.1, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/3)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/3, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/3)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/2, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/2)
Jun  2 2026 12:47:27 PJGFA-SL-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/1, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/1)
Jun  2 2026 12:41:48 PJGFA-SL-01 %%01SSHS/4/CALLHOME_RECORD(s):CID=0x8093753f;Callhome function maintenance information is collected. (Details =No active configuration present for callhome)
Jun  2 2026 12:41:19 PJGFA-SL-01 %%01SNMP/4/SNMP_RESET(l):CID=0x80d50407;SNMP was switched to a new process.
Jun  2 2026 12:41:18 PJGFA-SL-01 %%01VTY/3/hwVtyExceed_active(l):CID=0x80c87541-alarmID=0x00f102ee;The number of available VTY channels is lower than the threshold. (currentLoginVTYs=0, totalVTYs=0)
Jun  2 2026 12:41:14 PJGFA-SL-01 %%01SYSTEM/2/hwStorageUtilizationRisingAlarm_active(l):CID=0x80020028-alarmID=0x00010085;The storage usage exceeded the pre-set overload threshold. (TrapSeverity=4, ProbableCause=75265, EventType=3, PhysicalIndex=17891329, PhysicalName=MPU slot 17, RelativeResource=cfcard, UsageType=5, SubIndex=1, UsageValue=99, Unit=1, UsageThreshold=85)
Jun  2 2026 12:41:04 PJGFA-SL-01 %%01LCS/4/LCS_STATE_CHANGED(l):CID=0x802b03f4;License state changed from Default to Default.
