original_id,sample_key,final_status,successful_trajectories,incorrect_or_format_error,valid_attempts,success_rate_pct,total_attempts,model_attempts,infrastructure_failures,first_attempt_started_at_utc,last_attempt_finished_at_utc,wall_clock_seconds,wall_clock_hms,accepted_generation_seconds,accepted_generation_hms,accepted_average_seconds,accepted_usage_records,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,token_scope
17,q0017,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-03T15:55:45.282Z,2026-08-03T16:32:29.213Z,2203.931,00:36:44,2202.9380000000006,00:36:43,220.29380000000006,10,11015569,9760000,75411,31831,11090980,retained_accepted_only
18,q0018,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-03T15:59:56.876Z,2026-08-03T16:32:56.923Z,1980.047,00:33:00,1979.132,00:32:59,197.91320000000002,10,8210360,7195392,69751,32078,8280111,retained_accepted_only
19,q0019,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-03T16:07:37.557Z,2026-08-03T16:45:36.126Z,2278.569,00:37:59,2277.579,00:37:58,227.7579,10,10708815,9431808,83580,36451,10792395,retained_accepted_only
20,q0020,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-03T16:14:17.875Z,2026-08-03T16:52:31.394Z,2293.519,00:38:14,2292.498,00:38:12,229.2498,10,8922392,7765248,81586,34587,9003978,retained_accepted_only
21,q0021,abandoned_after_20_total_wrong,9,20,29,31.03448275862069,31,29,2,2026-08-03T16:14:21.109Z,2026-08-04T01:54:17.879Z,34796.77,09:39:57,3201.4149999999995,00:53:21,355.7127777777777,9,13392134,12091392,101120,55767,13493254,retained_accepted_only
22,q0022,abandoned_after_10_consecutive_wrong,1,16,17,5.882352941176471,18,17,1,2026-08-03T16:24:18.242Z,2026-08-03T17:59:36.493Z,5718.251,01:35:18,261.383,00:04:21,261.383,1,1838173,1677824,9670,5528,1847843,retained_accepted_only
23,q0023,abandoned_after_10_consecutive_wrong,3,18,21,14.285714285714286,23,21,2,2026-08-03T16:32:29.228Z,2026-08-04T01:25:19.153Z,31969.925,08:52:50,1045.806,00:17:26,348.60200000000003,3,4753566,4345856,39171,24443,4792737,retained_accepted_only
24,q0024,completed_with_10_correct,10,19,29,34.48275862068966,31,29,2,2026-08-03T16:32:56.937Z,2026-08-04T02:17:40.770Z,35083.833,09:44:44,3802.228,01:03:22,380.2228,10,18353768,16905984,120975,65798,18474743,retained_accepted_only
25,q0025,completed_with_10_correct,10,1,11,90.9090909090909,13,11,2,2026-08-03T16:40:21.628Z,2026-08-04T01:11:01.812Z,30640.184,08:30:40,4973.684,01:22:54,497.3684,10,36915395,34944256,177241,90751,37092636,retained_accepted_only
26,q0026,completed_with_10_correct,10,1,11,90.9090909090909,13,11,2,2026-08-03T16:45:36.139Z,2026-08-04T01:45:50.663Z,32414.524,09:00:15,5742.308000000001,01:35:42,574.2308,10,40870821,38748160,186360,105717,41057181,retained_accepted_only
27,q0027,completed_with_10_correct,10,2,12,83.33333333333333,14,12,2,2026-08-03T16:52:31.409Z,2026-08-04T01:39:58.949Z,31647.54,08:47:28,5635.713,01:33:56,563.5713,10,37386177,35405056,180388,97801,37566565,retained_accepted_only
28,q0028,completed_with_10_correct,10,1,11,90.9090909090909,13,11,2,2026-08-03T17:15:59.205Z,2026-08-04T02:03:38.267Z,31659.062,08:47:39,6117.182999999999,01:41:57,611.7182999999999,10,42532221,40558080,199886,109316,42732107,retained_accepted_only
29,q0029,completed_with_10_correct,10,0,10,100,11,10,1,2026-08-03T17:42:46.864Z,2026-08-04T02:14:57.206Z,30730.342,08:32:10,5880.980999999999,01:38:01,588.0980999999999,10,33237891,31064064,171313,95111,33409204,retained_accepted_only
30,q0030,completed_with_10_correct,10,1,11,90.9090909090909,24,21,13,2026-08-03T17:59:36.523Z,2026-08-04T03:31:44.571Z,34328.048,09:32:08,6410.816999999999,01:46:51,641.0817,10,39671001,37585408,184171,99624,39855172,retained_accepted_only
31,q0031,completed_with_10_correct,10,8,18,55.55555555555556,30,28,12,2026-08-04T01:11:01.825Z,2026-08-04T05:28:41.040Z,15459.215,04:17:39,6758.207,01:52:38,675.8207,10,51038650,48606464,211523,118209,51250173,retained_accepted_only
32,q0032,completed_with_10_correct,10,9,19,52.63157894736842,20,20,1,2026-08-04T01:25:19.220Z,2026-08-04T05:08:54.453Z,13415.233,03:43:35,5347.481,01:29:07,534.7481,10,34289387,32198144,177399,97419,34466786,retained_accepted_only
33,q0033,completed_with_10_correct,10,1,11,90.9090909090909,13,12,2,2026-08-04T01:39:58.970Z,2026-08-04T03:56:19.738Z,8180.768,02:16:21,4277.911,01:11:18,427.79110000000003,10,19313106,17839360,133337,74178,19446443,retained_accepted_only
34,q0034,completed_with_10_correct,10,4,14,71.42857142857143,14,14,0,2026-08-04T01:45:50.676Z,2026-08-04T04:31:21.535Z,9930.859,02:45:31,5373.759,01:29:34,537.3759,10,26030362,24423424,171008,102602,26201370,retained_accepted_only
35,q0035,completed_with_10_correct,10,1,11,90.9090909090909,12,12,1,2026-08-04T01:54:17.898Z,2026-08-04T04:01:32.388Z,7634.49,02:07:14,4575.103000000001,01:16:15,457.5103000000001,10,23013895,21549056,149198,80091,23163093,retained_accepted_only
36,q0036,completed_with_10_correct,10,6,16,62.5,17,17,1,2026-08-04T02:03:38.282Z,2026-08-04T04:53:35.016Z,10196.734,02:49:57,4907.398,01:21:47,490.7398,10,25477440,23846400,168642,97949,25646082,retained_accepted_only
37,q0037,completed_with_10_correct,10,1,11,90.9090909090909,11,11,0,2026-08-04T02:10:28.641Z,2026-08-04T04:19:07.018Z,7718.377,02:08:38,4695.812000000001,01:18:16,469.5812000000001,10,29771635,28077056,152911,79671,29924546,retained_accepted_only
38,q0038,completed_with_10_correct,10,0,10,100,11,11,1,2026-08-04T02:14:57.229Z,2026-08-04T04:11:40.065Z,7002.836,01:56:43,4407.727,01:13:28,440.7727,10,22588193,21071872,152609,86799,22740802,retained_accepted_only
39,q0039,completed_with_10_correct,10,1,11,90.9090909090909,12,12,1,2026-08-04T02:17:40.790Z,2026-08-04T04:29:38.452Z,7917.662,02:11:58,4394.237999999999,01:13:14,439.4237999999999,10,25483530,23795968,144347,71466,25627877,retained_accepted_only
40,q0040,completed_with_10_correct,10,1,11,90.9090909090909,11,11,0,2026-08-04T03:31:44.586Z,2026-08-04T05:15:07.521Z,6202.935,01:43:23,5455.942,01:30:56,545.5942,10,30883327,29308672,192784,107803,31076111,retained_accepted_only
41,q0041,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T03:56:19.761Z,2026-08-04T05:21:40.506Z,5120.745,01:25:21,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
42,q0042,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T04:01:32.409Z,2026-08-04T05:27:14.101Z,5141.692,01:25:42,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
43,q0043,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T04:11:40.100Z,2026-08-04T05:22:27.428Z,4247.328,01:10:47,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
44,q0044,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T04:19:07.032Z,2026-08-04T05:33:53.230Z,4486.198,01:14:46,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
45,q0045,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T04:29:38.471Z,2026-08-04T05:59:00.105Z,5361.634,01:29:22,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
46,q0046,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T04:31:21.576Z,2026-08-04T05:58:12.552Z,5210.976,01:26:51,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
47,q0047,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T04:53:35.033Z,2026-08-04T06:22:07.958Z,5312.925,01:28:33,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
48,q0048,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T05:08:54.469Z,2026-08-04T06:29:24.022Z,4829.553,01:20:30,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
49,q0049,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T05:15:07.537Z,2026-08-04T06:36:00.895Z,4853.358,01:20:53,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
50,q0050,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T05:21:40.541Z,2026-08-04T06:41:25.019Z,4784.478,01:19:44,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
51,q0051,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T05:22:27.468Z,2026-08-04T06:36:14.162Z,4426.694,01:13:47,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
52,q0052,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T05:27:14.164Z,2026-08-04T06:36:23.384Z,4149.22,01:09:09,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
53,q0053,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T05:28:41.057Z,2026-08-04T06:52:57.915Z,5056.858,01:24:17,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
54,q0054,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T05:33:53.259Z,2026-08-04T06:54:59.415Z,4866.156,01:21:06,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
55,q0055,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T05:58:12.616Z,2026-08-04T07:20:11.715Z,4919.099,01:21:59,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
56,q0056,abandoned_after_10_consecutive_wrong,0,10,10,0,10,10,0,2026-08-04T05:59:00.164Z,2026-08-04T07:27:01.226Z,5281.062,01:28:01,0,00:00:00,0,0,0,0,0,0,0,retained_accepted_only
57,q0057,completed_with_10_correct,10,5,15,66.66666666666667,15,15,0,2026-08-04T06:22:08.046Z,2026-08-04T08:27:17.700Z,7509.654,02:05:10,4983.111,01:23:03,498.3111,10,29289768,27494912,157653,78090,29447421,retained_accepted_only
58,q0058,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T06:29:24.090Z,2026-08-04T08:01:11.619Z,5507.529,01:31:48,5506.235,01:31:46,550.6234999999999,10,28577522,26834432,164478,91742,28742000,retained_accepted_only
59,q0059,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T06:36:00.936Z,2026-08-04T07:59:12.225Z,4991.289,01:23:11,4989.202,01:23:09,498.9202,10,23178434,21484288,151493,78986,23329927,retained_accepted_only
60,q0060,completed_with_10_correct,10,2,12,83.33333333333333,12,12,0,2026-08-04T06:36:14.192Z,2026-08-04T08:14:40.636Z,5906.444,01:38:26,4806.7609999999995,01:20:07,480.67609999999996,10,22796249,21227264,158287,85158,22954536,retained_accepted_only
61,q0061,completed_with_10_correct,10,3,13,76.92307692307692,13,13,0,2026-08-04T06:36:23.547Z,2026-08-04T08:08:14.366Z,5510.819,01:31:51,4104.0470000000005,01:08:24,410.40470000000005,10,20988757,19347456,130959,69590,21119716,retained_accepted_only
62,q0062,completed_with_10_correct,10,2,12,83.33333333333333,12,12,0,2026-08-04T06:41:25.049Z,2026-08-04T08:28:23.811Z,6418.762,01:46:59,5299.399,01:28:19,529.9399000000001,10,29021389,27320064,165561,94077,29186950,retained_accepted_only
63,q0063,completed_with_10_correct,10,1,11,90.9090909090909,11,11,0,2026-08-04T06:52:57.944Z,2026-08-04T08:19:28.986Z,5191.042,01:26:31,4745.709000000001,01:19:06,474.57090000000005,10,26937710,25157376,137886,73396,27075596,retained_accepted_only
64,q0064,completed_with_10_correct,10,1,11,90.9090909090909,11,11,0,2026-08-04T06:54:59.475Z,2026-08-04T08:35:14.346Z,6014.871,01:40:15,5142.922,01:25:43,514.2922,10,28039436,26374400,171024,90533,28210460,retained_accepted_only
65,q0065,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T07:20:11.765Z,2026-08-04T08:18:44.673Z,3512.908,00:58:33,3511.531,00:58:32,351.1531,10,15089153,13798400,111692,59065,15200845,retained_accepted_only
66,q0066,completed_with_10_correct,10,2,12,83.33333333333333,12,12,0,2026-08-04T07:27:01.275Z,2026-08-04T08:38:10.946Z,4269.671,01:11:10,3341.304,00:55:41,334.1304,10,13681126,12568320,111484,57047,13792610,retained_accepted_only
67,q0067,completed_with_10_correct,10,2,12,83.33333333333333,12,12,0,2026-08-04T07:59:12.248Z,2026-08-04T09:09:58.353Z,4246.105,01:10:46,3542.155,00:59:02,354.2155,10,17051697,15819008,115929,62764,17167626,retained_accepted_only
68,q0068,completed_with_10_correct,10,1,11,90.9090909090909,11,11,0,2026-08-04T08:01:11.635Z,2026-08-04T09:05:47.774Z,3876.139,01:04:36,3497.435,00:58:17,349.7435,10,14903934,13733888,122274,68934,15026208,retained_accepted_only
69,q0069,completed_with_10_correct,10,2,12,83.33333333333333,12,12,0,2026-08-04T08:08:14.389Z,2026-08-04T09:16:46.317Z,4111.928,01:08:32,3309.1179999999995,00:55:09,330.91179999999997,10,19002377,17548544,112423,54738,19114800,retained_accepted_only
70,q0070,completed_with_10_correct,10,1,11,90.9090909090909,11,11,0,2026-08-04T08:14:40.680Z,2026-08-04T09:30:04.538Z,4523.858,01:15:24,4096.685,01:08:17,409.66850000000005,10,17319729,16086272,141336,75404,17461065,retained_accepted_only
71,q0071,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T08:18:44.693Z,2026-08-04T09:12:56.886Z,3252.193,00:54:12,3251.116,00:54:11,325.1116,10,14577799,13419008,110255,56269,14688054,retained_accepted_only
72,q0072,completed_with_10_correct,10,3,13,76.92307692307692,13,13,0,2026-08-04T08:19:29.005Z,2026-08-04T09:48:05.615Z,5316.61,01:28:37,4039.1349999999998,01:07:19,403.9135,10,16840561,15544320,140437,75753,16980998,retained_accepted_only
73,q0073,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T08:27:17.716Z,2026-08-04T08:54:29.419Z,1631.703,00:27:12,1630.72,00:27:11,163.072,10,4011200,3328512,52379,27806,4063579,retained_accepted_only
74,q0074,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T08:28:23.834Z,2026-08-04T08:50:49.391Z,1345.557,00:22:26,1344.3839999999998,00:22:24,134.43839999999997,10,3006904,2416896,43122,22806,3050026,retained_accepted_only
75,q0075,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T08:35:14.398Z,2026-08-04T09:04:15.650Z,1741.252,00:29:01,1740.1039999999998,00:29:00,174.01039999999998,10,3630961,3050752,62055,33591,3693016,retained_accepted_only
76,q0076,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T08:38:10.961Z,2026-08-04T09:04:01.531Z,1550.57,00:25:51,1549.626,00:25:50,154.9626,10,3928340,3301120,50932,28677,3979272,retained_accepted_only
77,q0077,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T08:50:49.410Z,2026-08-04T09:16:07.065Z,1517.655,00:25:18,1516.584,00:25:17,151.6584,10,3451885,2814464,54020,30645,3505905,retained_accepted_only
78,q0078,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T08:54:29.437Z,2026-08-04T09:18:08.911Z,1419.474,00:23:39,1417.5339999999999,00:23:38,141.7534,10,3327620,2788864,48896,29876,3376516,retained_accepted_only
79,q0079,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:04:01.548Z,2026-08-04T09:29:29.095Z,1527.547,00:25:28,1525.9440000000002,00:25:26,152.5944,10,3248362,2658048,48831,26179,3297193,retained_accepted_only
80,q0080,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:04:15.666Z,2026-08-04T09:26:24.634Z,1328.968,00:22:09,1327.742,00:22:08,132.7742,10,3242682,2714880,45601,24883,3288283,retained_accepted_only
81,q0081,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:05:47.790Z,2026-08-04T09:36:32.379Z,1844.589,00:30:45,1843.374,00:30:43,184.3374,10,5365433,4716288,61461,29132,5426894,retained_accepted_only
82,q0082,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:09:58.371Z,2026-08-04T09:34:19.202Z,1460.831,00:24:21,1458.949,00:24:19,145.8949,10,3857536,3195904,51791,29093,3909327,retained_accepted_only
83,q0083,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:12:56.901Z,2026-08-04T09:39:54.534Z,1617.633,00:26:58,1616.3539999999998,00:26:56,161.63539999999998,10,4568830,3955712,55284,24906,4624114,retained_accepted_only
84,q0084,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:16:07.084Z,2026-08-04T09:41:02.083Z,1494.999,00:24:55,1493.5249999999999,00:24:54,149.3525,10,4268534,3673600,49993,26970,4318527,retained_accepted_only
85,q0085,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:16:46.379Z,2026-08-04T09:48:16.208Z,1889.829,00:31:30,1888.6959999999997,00:31:29,188.86959999999996,10,4989995,4333824,67568,35945,5057563,retained_accepted_only
86,q0086,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:18:08.926Z,2026-08-04T09:42:04.946Z,1436.02,00:23:56,1434.9599999999996,00:23:55,143.49599999999995,10,3680073,3111680,45244,25273,3725317,retained_accepted_only
87,q0087,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:26:24.651Z,2026-08-04T09:48:48.105Z,1343.454,00:22:23,1342.342,00:22:22,134.23420000000002,10,3537652,2902528,48776,21935,3586428,retained_accepted_only
88,q0088,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:29:29.112Z,2026-08-04T09:44:56.024Z,926.912,00:15:27,925.742,00:15:26,92.57419999999999,10,2537458,2038528,31055,15215,2568513,retained_accepted_only
89,q0089,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:30:04.565Z,2026-08-04T09:51:40.344Z,1295.779,00:21:36,1294.6370000000002,00:21:35,129.46370000000002,10,3446185,2801408,42070,18187,3488255,retained_accepted_only
90,q0090,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:34:19.223Z,2026-08-04T09:53:49.124Z,1169.901,00:19:30,1168.6509999999998,00:19:29,116.86509999999998,10,3431630,2817536,38789,17534,3470419,retained_accepted_only
91,q0091,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:36:32.395Z,2026-08-04T09:56:19.236Z,1186.841,00:19:47,1185.7040000000002,00:19:46,118.57040000000002,10,3411066,2798080,40788,18130,3451854,retained_accepted_only
92,q0092,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:39:54.549Z,2026-08-04T09:56:12.666Z,978.117,00:16:18,976.706,00:16:17,97.67060000000001,10,2618555,2136832,34018,15743,2652573,retained_accepted_only
93,q0093,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:41:02.107Z,2026-08-04T10:03:51.496Z,1369.389,00:22:49,1368.32,00:22:48,136.832,10,3709455,3143936,48359,20243,3757814,retained_accepted_only
94,q0094,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:42:04.961Z,2026-08-04T10:00:07.107Z,1082.146,00:18:02,1080.9309999999998,00:18:01,108.09309999999998,10,3223373,2692352,36003,15511,3259376,retained_accepted_only
95,q0095,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:44:56.041Z,2026-08-04T10:07:56.871Z,1380.83,00:23:01,1379.276,00:22:59,137.9276,10,4114072,3492352,47895,18888,4161967,retained_accepted_only
96,q0096,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:48:05.635Z,2026-08-04T10:06:24.398Z,1098.763,00:18:19,1097.6139999999998,00:18:18,109.76139999999998,10,3148366,2652160,36001,16653,3184367,retained_accepted_only
97,q0097,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:48:16.227Z,2026-08-04T10:07:22.500Z,1146.273,00:19:06,1145.194,00:19:05,114.51939999999999,10,3382451,2778368,40387,19509,3422838,retained_accepted_only
98,q0098,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:48:48.120Z,2026-08-04T10:07:39.554Z,1131.434,00:18:51,1130.285,00:18:50,113.02850000000001,10,3570642,3014400,37895,16703,3608537,retained_accepted_only
99,q0099,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:51:40.363Z,2026-08-04T10:15:54.984Z,1454.621,00:24:15,1453.6580000000001,00:24:14,145.3658,10,4377637,3781376,49866,20665,4427503,retained_accepted_only
100,q0100,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-04T09:53:49.178Z,2026-08-04T10:11:36.674Z,1067.496,00:17:47,1066.305,00:17:46,106.63050000000001,10,2987367,2438656,34682,15230,3022049,retained_accepted_only
