Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 35304
Current messages : 512

Jun 16 2026 03:42:49 Core_SW_01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun 16 2026 03:41:56 Core_SW_01 %%01LACP/2/hwLacpStateDown_clear(l):CID=0x80480454-alarmID=0x09362015-clearType=service_resume;The LACP status of the member port changes to up. (TrunkIndex=53,PortIfIndex=6,TrunkId=1,TrunkName=Eth-Trunk1,PortName=GE1/0/1,Reason=LACP negotiation succeeds.)
Jun 16 2026 03:41:56 Core_SW_01 %%01LACP/4/LACP_STATE_DOWN(l):CID=0x80480454;The LACP state is down. (PortName=GE1/0/2, TrunkName=Eth-Trunk1, LastReceivePacketTime=[2026-06-16 03:40:26:509], Reason=No LACPDUs were received when the timer expired. Please check link connections or remote interface's status.)
Jun 16 2026 03:41:56 Core_SW_01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Eth-Trunk1, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk1)
Jun 16 2026 03:41:55 Core_SW_01 %%01IFNET/2/linkDown_active(l):CID=0x807a040f-alarmID=0x08520003;The interface status changes. (ifName=Eth-Trunk1, AdminStatus=UP, OperStatus=DOWN, Reason=The conditions for the activation of the interface are not met, mainIfname=Eth-Trunk1)
Jun 16 2026 03:41:49 Core_SW_01 %%01OSPF/2/ospfNbrStateChange_active(l):CID=0x80830457-alarmID=0x08900005;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.1, NbrIpAddress=10.1.200.5, NbrAddressLessIndex=0, NbrRtrId=10.1.254.4, NbrState=1, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=52, LocalIfIpAddress=10.1.200.6, IfName=Vlanif202, VpnName=_public_, Reason=Peer router reason, SubReason=1-Wayhello Received)
Jun 16 2026 03:41:49 Core_SW_01 %%01OSPF/3/NBR_DOWN_REASON(l):CID=0x80830457;Neighbor state left full or changed to Down. (ProcessId=1, NeighborRouterId=10.1.254.4, NeighborIp=10.1.200.5, NeighborAreaId=0.0.0.0, NeighborInterface=Vlanif202, NeighborDownImmediate reason=Neighbor Down Due to 1-Wayhello Received, NeighborDownPrimeReason=1-Wayhello Received, CpuUsage=20%, VpnName=_public_, IfMTU=1500, LocalIp=10.1.200.6,SystemInfo=Avai:474301320, Com:102136380, mlo:110860, cpu:20, pin:1261017927, pout:4294967295, kernelRat:11.20, NiceRate:0.30, IowaitRate:0.0, HardIrqRate:0.58, SoftIrqRate:1.1, StealstolenRate:0.0)
Jun 16 2026 03:41:49 Core_SW_01 %%01RM/4/RM_DELETE_DEFAULTRT(l):CID=0x80717539;The default route is deleted. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif202, Nexthop=10.1.200.5, Neighbour=, Preference=150, Metric=1, IndirectID=16777351)
Jun 16 2026 03:41:49 Core_SW_01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif201, Nexthop=10.1.200.1, Neighbour=, Preference=150, Metric=1, IndirectID=16777353)
Jun 16 2026 03:41:49 Core_SW_01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Eth-Trunk3, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk3)
Jun 16 2026 03:41:48 Core_SW_01 %%01IFNET/2/linkDown_active(l):CID=0x807a040f-alarmID=0x08520003;The interface status changes. (ifName=Eth-Trunk3, AdminStatus=UP, OperStatus=DOWN, Reason=The conditions for the activation of the interface are not met, mainIfname=Eth-Trunk3)
Jun 16 2026 03:41:13 Core_SW_01 %%01VRRP/3/VRRP_DOUBLE_MASTER_ERR(l):CID=0x80250453;VRRP detected double masters. (IfIndex=45, IfName=Vlanif10, VrId=1, PeerIp=10.1.10.252, PeerPriority=110)
Jun 16 2026 03:41:06 Core_SW_01 %%01OSPF/2/ospfNbrStateChange_clear(l):CID=0x80830457-alarmID=0x08900005-clearType=service_resume;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.1, NbrIpAddress=10.1.200.5, NbrAddressLessIndex=0, NbrRtrId=10.1.254.4, NbrState=8, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=52, LocalIfIpAddress=10.1.200.6, IfName=Vlanif202, VpnName=_public_, Reason=Alarm clear, SubReason=neighbor full)
Jun 16 2026 03:41:04 Core_SW_01 %%01RM/4/RM_DELETE_DEFAULTRT(l):CID=0x80717539;The default route is deleted. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif201, Nexthop=10.1.200.1, Neighbour=, Preference=150, Metric=1, IndirectID=16777353)
Jun 16 2026 03:41:04 Core_SW_01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif202, Nexthop=10.1.200.5, Neighbour=, Preference=150, Metric=1, IndirectID=16777351)
Jun 16 2026 03:41:02 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (Interface=GE1/0/1, Action=added, Added=1, Deleted=0, RemoteInterfaceName=GE1/0/1, RemoteDeviceManageAddress=10.1.254.2)
Jun 16 2026 03:41:02 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/1, RemoteChassisType=macAddress, RemoteChassisId=3808-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/1, RemoteSystemName=Core_SW_02, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.2)
Jun 16 2026 03:41:02 Core_SW_01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun 16 2026 03:40:56 Core_SW_01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun 16 2026 03:40:56 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (Interface=GE1/0/1, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=GE1/0/1, RemoteDeviceManageAddress=10.1.254.2)
Jun 16 2026 03:40:56 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/1, RemoteChassisType=macAddress, RemoteChassisId=3808-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/1, RemoteSystemName=Core_SW_02, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.2)
Jun 16 2026 03:40:49 Core_SW_01 %%01OSPF/2/ospfLsaRetranExceedLimit_clear(l):CID=0x80830457-alarmID=0x00f1ffc5-clearType=service_resume;The number of OSPF LSA retransmissions on an interface is lower than the limit. (ProcessId=1, AreaId=0.0.0.2, InterfaceName=Vlanif110)
Jun 16 2026 03:40:26 Core_SW_01 %%01LACP/2/hwLacpNegotiateFailed_clear(l):CID=0x807a040f-alarmID=0x09360000-clearType=service_resume;Link negotiation failure is resumed. (TrunkIndex=0, PortIfIndex=6, TrunkId=1, TrunkName=Eth-Trunk1, PortName=GE1/0/1, Reason=The link fault was rectified and negotiation information was synchronized.)
Jun 16 2026 03:40:23 Core_SW_01 %%01RM/4/RM_DELETE_DEFAULTRT(l):CID=0x80717539;The default route is deleted. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif110, Nexthop=10.1.110.252, Neighbour=, Preference=150, Metric=1, IndirectID=16777365)
Jun 16 2026 03:40:23 Core_SW_01 %%01RM/4/RM_DELETE_DEFAULTRT(l):CID=0x80717539;The default route is deleted. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif120, Nexthop=10.1.120.252, Neighbour=, Preference=150, Metric=1, IndirectID=16777369)
Jun 16 2026 03:40:23 Core_SW_01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif201, Nexthop=10.1.200.1, Neighbour=, Preference=150, Metric=1, IndirectID=16777353)
Jun 16 2026 03:40:22 Core_SW_01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Eth-Trunk1, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk1)
Jun 16 2026 03:40:22 Core_SW_01 %%01IFNET/2/linkDown_active(l):CID=0x807a040f-alarmID=0x08520003;The interface status changes. (ifName=Eth-Trunk1, AdminStatus=UP, OperStatus=DOWN, Reason=The conditions for the activation of the interface are not met, mainIfname=Eth-Trunk1)
Jun 16 2026 03:40:19 Core_SW_01 %%01RM/4/RM_DELETE_DEFAULTRT(l):CID=0x80717539;The default route is deleted. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif202, Nexthop=10.1.200.5, Neighbour=, Preference=150, Metric=1, IndirectID=16777351)
Jun 16 2026 03:40:19 Core_SW_01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif110, Nexthop=10.1.110.252, Neighbour=, Preference=150, Metric=1, IndirectID=16777365)
Jun 16 2026 03:40:19 Core_SW_01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif120, Nexthop=10.1.120.252, Neighbour=, Preference=150, Metric=1, IndirectID=16777369)
Jun 16 2026 03:40:19 Core_SW_01 %%01OSPF/2/ospfNbrStateChange_active(l):CID=0x80830457-alarmID=0x08900005;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.1, NbrIpAddress=10.1.200.5, NbrAddressLessIndex=0, NbrRtrId=10.1.254.4, NbrState=1, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=52, LocalIfIpAddress=10.1.200.6, IfName=Vlanif202, VpnName=_public_, Reason=Peer router reason, SubReason=1-Wayhello Received)
Jun 16 2026 03:40:19 Core_SW_01 %%01OSPF/3/NBR_DOWN_REASON(l):CID=0x80830457;Neighbor state left full or changed to Down. (ProcessId=1, NeighborRouterId=10.1.254.4, NeighborIp=10.1.200.5, NeighborAreaId=0.0.0.0, NeighborInterface=Vlanif202, NeighborDownImmediate reason=Neighbor Down Due to 1-Wayhello Received, NeighborDownPrimeReason=1-Wayhello Received, CpuUsage=19%, VpnName=_public_, IfMTU=1500, LocalIp=10.1.200.6,SystemInfo=Avai:474329480, Com:101938768, mlo:92964, cpu:19, pin:1261017911, pout:4294967295, kernelRat:11.15, NiceRate:0.30, IowaitRate:0.0, HardIrqRate:0.58, SoftIrqRate:0.99, StealstolenRate:0.0)
Jun 16 2026 03:40:18 Core_SW_01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Eth-Trunk3, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk3)
Jun 16 2026 03:40:18 Core_SW_01 %%01OSPF/2/ospfNbrStateChange_clear(l):CID=0x80830457-alarmID=0x08900005-clearType=service_resume;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.1, NbrIpAddress=10.1.200.1, NbrAddressLessIndex=0, NbrRtrId=10.1.254.3, NbrState=8, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=51, LocalIfIpAddress=10.1.200.2, IfName=Vlanif201, VpnName=_public_, Reason=Alarm clear, SubReason=neighbor full)
Jun 16 2026 03:40:16 Core_SW_01 %%01LACP/4/LACP_STATE_DOWN(l):CID=0x80480454;The LACP state is down. (PortName=GE1/0/9, TrunkName=Eth-Trunk3, LastReceivePacketTime=[2026-06-16 03:38:46:015], Reason=No LACPDUs were received when the timer expired. Please check link connections or remote interface's status.)
Jun 16 2026 03:40:16 Core_SW_01 %%01IFNET/2/linkDown_active(l):CID=0x807a040f-alarmID=0x08520003;The interface status changes. (ifName=Eth-Trunk3, AdminStatus=UP, OperStatus=DOWN, Reason=The conditions for the activation of the interface are not met, mainIfname=Eth-Trunk3)
Jun 16 2026 03:40:10 Core_SW_01 %%01VRRP/4/vrrpTrapMasterDown(l):CID=0x80250453;The VRRP status changed from master to another state. (ifIndex=47, VrId=3, MasterIpAddr=10.1.30.252, sysName=Core_SW_01, ifName=Vlanif30, CurrentState=backup, ChangeReason=priority calculation)
Jun 16 2026 03:40:03 Core_SW_01 %%01LACP/2/hwLacpNegotiateFailed_active(l):CID=0x807a040f-alarmID=0x09360000;The member of LAG negotiation failed. (TrunkIndex=0, PortIfIndex=6, TrunkId=1, TrunkName=Eth-Trunk1, PortName=GE1/0/1, Reason=A link fault occurred or negotiation information synchronization failed.)
Jun 16 2026 03:39:46 Core_SW_01 %%01VRRP/4/vrrpTrapMasterDown(l):CID=0x80250453;The VRRP status changed from master to another state. (ifIndex=48, VrId=4, MasterIpAddr=10.1.40.252, sysName=Core_SW_01, ifName=Vlanif40, CurrentState=backup, ChangeReason=priority calculation)
Jun 16 2026 03:39:35 Core_SW_01 %%01OSPF/2/ospfLsaRetranExceedLimit_clear(l):CID=0x80830457-alarmID=0x00f1ffc5-clearType=service_resume;The number of OSPF LSA retransmissions on an interface is lower than the limit. (ProcessId=1, AreaId=0.0.0.1, InterfaceName=Vlanif30)
Jun 16 2026 03:39:32 Core_SW_01 %%01VRRP/4/vrrpTrapNewMaster(l):CID=0x80250453;The VRRP status changed to master. (ifIndex=48, VrId=4, MasterIPAddress=10.1.40.253, sysName=Core_SW_01, ifName=Vlanif40, ChangeReason=protocol timer expired)
Jun 16 2026 03:39:30 Core_SW_01 %%01VRRP/4/vrrpTrapNewMaster(l):CID=0x80250453;The VRRP status changed to master. (ifIndex=47, VrId=3, MasterIPAddress=10.1.30.253, sysName=Core_SW_01, ifName=Vlanif30, ChangeReason=protocol timer expired)
Jun 16 2026 03:39:21 Core_SW_01 %%01OSPF/2/ospfLsaRetranExceedLimit_active(l):CID=0x80830457-alarmID=0x00f1ffc5;The number of OSPF LSA retransmissions on an interface exceeds the limit. (ProcessId=1, AreaId=0.0.0.1, InterfaceName=Vlanif10)
Jun 16 2026 03:39:12 Core_SW_01 %%01RM/4/RM_DELETE_DEFAULTRT(l):CID=0x80717539;The default route is deleted. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif201, Nexthop=10.1.200.1, Neighbour=, Preference=150, Metric=1, IndirectID=16777353)
Jun 16 2026 03:39:12 Core_SW_01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif202, Nexthop=10.1.200.5, Neighbour=, Preference=150, Metric=1, IndirectID=16777351)
Jun 16 2026 03:39:12 Core_SW_01 %%01OSPF/2/ospfNbrStateChange_active(l):CID=0x80830457-alarmID=0x08900005;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.1, NbrIpAddress=10.1.200.1, NbrAddressLessIndex=0, NbrRtrId=10.1.254.3, NbrState=1, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=51, LocalIfIpAddress=10.1.200.2, IfName=Vlanif201, VpnName=_public_, Reason=Peer router reason, SubReason=1-Wayhello Received)
Jun 16 2026 03:39:12 Core_SW_01 %%01OSPF/3/NBR_DOWN_REASON(l):CID=0x80830457;Neighbor state left full or changed to Down. (ProcessId=1, NeighborRouterId=10.1.254.3, NeighborIp=10.1.200.1, NeighborAreaId=0.0.0.0, NeighborInterface=Vlanif201, NeighborDownImmediate reason=Neighbor Down Due to 1-Wayhello Received, NeighborDownPrimeReason=1-Wayhello Received, CpuUsage=19%, VpnName=_public_, IfMTU=1500, LocalIp=10.1.200.2,SystemInfo=Avai:474337044, Com:102174888, mlo:92316, cpu:19, pin:1261017903, pout:4294967295, kernelRat:11.24, NiceRate:0.28, IowaitRate:0.0, HardIrqRate:0.59, SoftIrqRate:1.0, StealstolenRate:0.0)
Jun 16 2026 03:39:11 Core_SW_01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Eth-Trunk2, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk2)
Jun 16 2026 03:39:11 Core_SW_01 %%01LACP/4/LACP_STATE_DOWN(l):CID=0x80480454;The LACP state is down. (PortName=GE1/0/8, TrunkName=Eth-Trunk2, LastReceivePacketTime=[2026-06-16 03:37:40:889], Reason=No LACPDUs were received when the timer expired. Please check link connections or remote interface's status.)
Jun 16 2026 03:39:10 Core_SW_01 %%01IFNET/2/linkDown_active(l):CID=0x807a040f-alarmID=0x08520003;The interface status changes. (ifName=Eth-Trunk2, AdminStatus=UP, OperStatus=DOWN, Reason=The conditions for the activation of the interface are not met, mainIfname=Eth-Trunk2)
Jun 16 2026 03:39:05 Core_SW_01 %%01VRRP/3/VRRP_DOUBLE_MASTER_ERR(l):CID=0x80250453;VRRP detected double masters. (IfIndex=46, IfName=Vlanif20, VrId=2, PeerIp=10.1.20.252, PeerPriority=110)
Jun 16 2026 03:39:05 Core_SW_01 %%01RM/4/RM_DELETE_DEFAULTRT(l):CID=0x80717539;The default route is deleted. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif202, Nexthop=10.1.200.5, Neighbour=, Preference=150, Metric=1, IndirectID=16777351)
Jun 16 2026 03:39:05 Core_SW_01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif201, Nexthop=10.1.200.1, Neighbour=, Preference=150, Metric=1, IndirectID=16777353)
Jun 16 2026 03:38:57 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (Interface=GE1/0/1, Action=added, Added=1, Deleted=0, RemoteInterfaceName=GE1/0/1, RemoteDeviceManageAddress=10.1.254.2)
Jun 16 2026 03:38:57 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/1, RemoteChassisType=macAddress, RemoteChassisId=3808-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/1, RemoteSystemName=Core_SW_02, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.2)
Jun 16 2026 03:38:57 Core_SW_01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun 16 2026 03:38:51 Core_SW_01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Eth-Trunk1, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk1)
Jun 16 2026 03:38:51 Core_SW_01 %%01IFNET/2/linkDown_active(l):CID=0x807a040f-alarmID=0x08520003;The interface status changes. (ifName=Eth-Trunk1, AdminStatus=UP, OperStatus=DOWN, Reason=The conditions for the activation of the interface are not met, mainIfname=Eth-Trunk1)
Jun 16 2026 03:38:48 Core_SW_01 %%01OSPF/2/ospfNbrStateChange_clear(l):CID=0x80830457-alarmID=0x08900005-clearType=service_resume;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.1, NbrIpAddress=10.1.200.1, NbrAddressLessIndex=0, NbrRtrId=10.1.254.3, NbrState=8, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=51, LocalIfIpAddress=10.1.200.2, IfName=Vlanif201, VpnName=_public_, Reason=Alarm clear, SubReason=neighbor full)
Jun 16 2026 03:38:45 Core_SW_01 %%01OSPF/2/ospfNbrStateChange_clear(l):CID=0x80830457-alarmID=0x08900005-clearType=service_resume;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.1, NbrIpAddress=10.1.200.5, NbrAddressLessIndex=0, NbrRtrId=10.1.254.4, NbrState=8, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=52, LocalIfIpAddress=10.1.200.6, IfName=Vlanif202, VpnName=_public_, Reason=Alarm clear, SubReason=neighbor full)
