Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 79
Current messages : 512

Jun  4 2026 05:55:09 SW-DMZ-ACC-01 %%01INFO/4/SUPPRESS_LOGINFO(l):CID=0x806003fe;Log LLDP/LLDP_INTERFACE_REM_CHANGE is suppressed 20 in last 3600 seconds, Source=0x80a50450.
Jun  4 2026 05:24:41 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/5, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/5, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:24:41 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/4, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/4, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:24:41 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  4 2026 05:24:41 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/2, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/2, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:24:41 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_active(l):CID=0x807a0408-alarmID=0x08520003;The interface status changes. (ifName=GE1/0/6, AdminStatus=DOWN, OperStatus=DOWN, Reason=The interface is shut down, mainIfname=GE1/0/6)
Jun  4 2026 05:24:41 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_active(l):CID=0x807a0408-alarmID=0x08520003;The interface status changes. (ifName=GE1/0/5, AdminStatus=DOWN, OperStatus=DOWN, Reason=The interface is shut down, mainIfname=GE1/0/5)
Jun  4 2026 05:24:41 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_active(l):CID=0x807a0408-alarmID=0x08520003;The interface status changes. (ifName=GE1/0/4, AdminStatus=DOWN, OperStatus=DOWN, Reason=The interface is shut down, mainIfname=GE1/0/4)
Jun  4 2026 05:24:41 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_active(l):CID=0x807a0408-alarmID=0x08520003;The interface status changes. (ifName=GE1/0/2, AdminStatus=DOWN, OperStatus=DOWN, Reason=The interface is shut down, mainIfname=GE1/0/2)
Jun  4 2026 05:24:29 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  4 2026 05:24:26 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/3, RemoteChassisType=macAddress, RemoteChassisId=38ba-2ea8-7401, RemotePortIdType=interfaceName, RemotePortId=Ethernet1/0/0, RemoteSystemName=HQ-DHCP-Server, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.221 (NE40E-X16 V800R022C10SPC100B315)  Copyright (C) 2012-2022 Huawei Technologies Co., Ltd.  HUAWEI NE40E-X16  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=38ba-2ea8-7401)
Jun  4 2026 05:24:24 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/4, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/4, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:24:24 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  4 2026 05:24:17 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  4 2026 05:24:16 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/5, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/5, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:24:12 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  4 2026 05:24:12 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/5, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/5, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:24:08 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  4 2026 05:24:08 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/1, RemoteChassisType=macAddress, RemoteChassisId=0c4d-45a4-0000, RemotePortIdType=interfaceName, RemotePortId=GigabitEthernet1/0/4, RemoteSystemName=FW_01, RemoteSystemDescription=FW_01, Huawei Versatile Routing Platform Software, Software Version : USG6000V2 V500R005C00SPC100 (VRP (R) Software, Version 5.170), Copyright (C) 2014-2018 Huawei Technologies Co., Ltd., RemoteSystemCapabilitySupported=router, RemoteSystemCapabilityEnabled=router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.3)
Jun  4 2026 05:23:56 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  4 2026 05:23:52 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/6, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/6, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:23:52 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  4 2026 05:23:52 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/6, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/6, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:23:24 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  4 2026 05:23:24 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/4, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/4, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:22:26 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/3, RemoteChassisType=macAddress, RemoteChassisId=38ba-2ea8-7401, RemotePortIdType=interfaceName, RemotePortId=Ethernet1/0/0, RemoteSystemName=HQ-DHCP-Server, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.221 (NE40E-X16 V800R022C10SPC100B315)  Copyright (C) 2012-2022 Huawei Technologies Co., Ltd.  HUAWEI NE40E-X16  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=38ba-2ea8-7401)
Jun  4 2026 05:22:26 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  4 2026 05:22:12 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/5, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/5, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:22:12 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  4 2026 05:22:04 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/2, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/2, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:22:04 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  4 2026 05:21:12 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  4 2026 05:21:12 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/5, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/5, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:19:56 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  4 2026 05:19:56 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/3, RemoteChassisType=macAddress, RemoteChassisId=38ba-2ea8-7401, RemotePortIdType=interfaceName, RemotePortId=Ethernet1/0/0, RemoteSystemName=HQ-DHCP-Server, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.221 (NE40E-X16 V800R022C10SPC100B315)  Copyright (C) 2012-2022 Huawei Technologies Co., Ltd.  HUAWEI NE40E-X16  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=38ba-2ea8-7401)
Jun  4 2026 05:19:47 SW-DMZ-ACC-01 %%01RM/4/RM_DELETE_DEFAULTRT(l):CID=0x80717539;The default route is deleted. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif210, Nexthop=10.1.200.25, Neighbour=, Preference=150, Metric=1, IndirectID=16777274)
Jun  4 2026 05:19:47 SW-DMZ-ACC-01 %%01OSPF/2/ospfNbrStateChange_active(l):CID=0x8083044d-alarmID=0x08900005;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.5, NbrIpAddress=10.1.200.25, NbrAddressLessIndex=0, NbrRtrId=10.1.254.3, NbrState=1, ProcessId=1, AreaId=0.0.0.3, IfnetIndex=47, LocalIfIpAddress=10.1.200.26, IfName=Vlanif210, VpnName=_public_, Reason=Adjacency holdTimer expired, SubReason=Hello Not Seen)
Jun  4 2026 05:19:47 SW-DMZ-ACC-01 %%01OSPF/3/NBR_DOWN_REASON(l):CID=0x8083044d;Neighbor state left full or changed to Down. (ProcessId=1, NeighborRouterId=10.1.254.3, NeighborIp=10.1.200.25, NeighborAreaId=0.0.0.3, NeighborInterface=Vlanif210, NeighborDownImmediate reason=Neighbor Down Due to Inactivity, NeighborDownPrimeReason=Hello Not Seen, CpuUsage=12%, VpnName=_public_, IfMTU=1500, LocalIp=10.1.200.26,SystemInfo=Avai:478754396, Com:88672744, mlo:105732, cpu:12, pin:957850808, pout:4294967295, kernelRat:6.45, NiceRate:0.3, IowaitRate:0.0, HardIrqRate:0.49, SoftIrqRate:0.56, StealstolenRate:0.0)
Jun  4 2026 05:18:30 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  4 2026 05:18:30 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/2, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/2, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:18:18 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (Interface=GE1/0/6, Action=added, Added=1, Deleted=0, RemoteInterfaceName=GE1/0/6, RemoteDeviceManageAddress=10.1.254.5)
Jun  4 2026 05:18:18 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/6, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/6, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:18:18 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  4 2026 05:18:08 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (Interface=GE1/0/5, Action=added, Added=1, Deleted=0, RemoteInterfaceName=GE1/0/5, RemoteDeviceManageAddress=10.1.254.5)
Jun  4 2026 05:18:08 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/5, RemoteChassisType=macAddress, RemoteChassisId=380f-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/5, RemoteSystemName=SW-DMZ-ACC-01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.5)
Jun  4 2026 05:18:08 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  4 2026 05:17:48 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50450;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  4 2026 05:17:48 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50450;Neighbor information of the interface was changed. (Interface=GE1/0/6, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=GE1/0/6, RemoteDeviceManageAddress=10.1.254.5)
