display interface brief
Brief information on interfaces in route mode:
Link: ADM - administratively down; Stby - standby
Protocol: (s) - spoofing
Interface            Link Protocol Primary IP        Description              
HGE1/0/165           DOWN DOWN     --                
HGE1/0/166           DOWN DOWN     --                
HGE1/0/167           DOWN DOWN     --                
HGE1/0/168           DOWN DOWN     --                
HGE1/0/169           DOWN DOWN     --                
HGE1/0/170           DOWN DOWN     --                
HGE1/0/171           DOWN DOWN     --                
HGE1/0/172           DOWN DOWN     --                
HGE1/0/173           DOWN DOWN     --                
HGE1/0/174           DOWN DOWN     --                
HGE1/0/175           DOWN DOWN     --                
HGE1/0/176           DOWN DOWN     --                
HGE1/0/177           DOWN DOWN     --                
HGE1/0/178           DOWN DOWN     --                
HGE1/0/179           DOWN DOWN     --                
HGE1/0/180           DOWN DOWN     --                
HGE1/0/181           DOWN DOWN     --                
HGE1/0/182           DOWN DOWN     --                
HGE1/0/183           DOWN DOWN     --                
HGE1/0/184           DOWN DOWN     --                
HGE1/0/185           DOWN DOWN     --                
HGE1/0/186           DOWN DOWN     --                
HGE1/0/187           DOWN DOWN     --                
HGE1/0/188           DOWN DOWN     --                
HGE1/0/189           DOWN DOWN     --                
HGE1/0/190           DOWN DOWN     --                
HGE1/0/191           DOWN DOWN     --                
HGE1/0/192           DOWN DOWN     --                
HGE1/0/193           DOWN DOWN     --                
HGE1/0/194           DOWN DOWN     --                
HGE1/0/195           DOWN DOWN     --                
HGE1/0/196           DOWN DOWN     --                
HGE1/0/197           DOWN DOWN     --                
HGE1/0/198           DOWN DOWN     --                
HGE1/0/199           DOWN DOWN     --                
HGE1/0/200           DOWN DOWN     --                
HGE1/0/201           DOWN DOWN     --                
HGE1/0/202           DOWN DOWN     --                
HGE1/0/203           DOWN DOWN     --                
HGE1/0/204           DOWN DOWN     --                
HGE1/0/205           DOWN DOWN     --                
HGE1/0/206           DOWN DOWN     --                
HGE1/0/207           DOWN DOWN     --                
HGE1/0/208           DOWN DOWN     --                
HGE1/0/209           DOWN DOWN     --                
HGE1/0/210           DOWN DOWN     --                
HGE1/0/211           DOWN DOWN     --                
HGE1/0/212           DOWN DOWN     --                
HGE1/0/213           DOWN DOWN     --                
HGE1/0/214           DOWN DOWN     --                
HGE1/0/215           DOWN DOWN     --                
HGE1/0/216           DOWN DOWN     --                
HGE1/0/217           DOWN DOWN     --                
HGE1/0/218           DOWN DOWN     --                
HGE1/0/219           DOWN DOWN     --                
HGE1/0/220           DOWN DOWN     --                
HGE1/0/221           DOWN DOWN     --                
HGE1/0/222           DOWN DOWN     --                
HGE1/0/223           DOWN DOWN     --                
HGE1/0/224           DOWN DOWN     --                
HGE1/0/225           DOWN DOWN     --                
HGE1/0/226           DOWN DOWN     --                
HGE1/0/227           DOWN DOWN     --                
HGE1/0/228           DOWN DOWN     --                
HGE1/0/229           DOWN DOWN     --                
HGE1/0/230           DOWN DOWN     --                
HGE1/0/231           DOWN DOWN     --                
HGE1/0/232           DOWN DOWN     --                
HGE1/0/233           DOWN DOWN     --                
HGE1/0/234           DOWN DOWN     --                
HGE1/0/235           DOWN DOWN     --                
HGE1/0/236           DOWN DOWN     --                
HGE1/0/237           DOWN DOWN     --                
HGE1/0/238           DOWN DOWN     --                
HGE1/0/239           DOWN DOWN     --                
HGE1/0/240           DOWN DOWN     --                
HGE1/0/241           DOWN DOWN     --                
HGE1/0/242           DOWN DOWN     --                
HGE1/0/243           DOWN DOWN     --                
HGE1/0/244           DOWN DOWN     --                
HGE1/0/245           DOWN DOWN     --                
HGE1/0/246           DOWN DOWN     --                
HGE1/0/247           DOWN DOWN     --                
HGE1/0/248           DOWN DOWN     --                
HGE1/0/249           DOWN DOWN     --                
HGE1/0/250           DOWN DOWN     --                
HGE1/0/251           DOWN DOWN     --                
HGE1/0/252           DOWN DOWN     --                
HGE1/0/253           DOWN DOWN     --                
HGE1/0/254           DOWN DOWN     --                
HGE1/0/255           DOWN DOWN     --                
HGE1/0/256           DOWN DOWN     --                
InLoop0              UP   UP(s)    --                
MGE0/0/0             UP   UP       --                
NULL0                UP   UP(s)    --                
REG0                 UP   --       --                

Brief information on interfaces in bridge mode:
Link: ADM - administratively down; Stby - standby
Speed: (a) - auto
Duplex: (a)/A - auto; H - half; F - full
Type: A - access; T - trunk; H - hybrid
Interface            Link Speed     Duplex Type PVID Description              
HGE1/0/1             UP   100G      F(a)   T    1    to_Core_SW_01_GE1/0/4
HGE1/0/2             UP   100G      F(a)   T    1    to_Core_SW_02_GE1/0/4
HGE1/0/3             UP   100G      F(a)   A    20   to_HQ_FIN_PC01_eth0
HGE1/0/4             UP   100G      F(a)   T    100  
HGE1/0/5             UP   100G      F(a)   A    20   to_HQ_FIN_Client01_eth0
