Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 31215
Current messages : 512

Jun 16 2026 06:32:48 Core_SW_02 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun 16 2026 06:32:27 Core_SW_02 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (Interface=GE1/0/1, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=GE1/0/1, RemoteDeviceManageAddress=10.1.254.1)
Jun 16 2026 06:32:27 Core_SW_02 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/1, RemoteChassisType=macAddress, RemoteChassisId=3807-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/1, RemoteSystemName=Core_SW_01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.1)
Jun 16 2026 06:32:04 Core_SW_02 %%01LACP/4/LACP_STATE_DOWN(l):CID=0x80480454;The LACP state is down. (PortName=GE1/0/1, TrunkName=Eth-Trunk1, LastReceivePacketTime=[2026-06-16 06:30:33:590], Reason=No LACPDUs were received when the timer expired. Please check link connections or remote interface's status.)
Jun 16 2026 06:32:04 Core_SW_02 %%01LACP/2/hwLacpNegotiateFailed_active(l):CID=0x807a040f-alarmID=0x09360000;The member of LAG negotiation failed. (TrunkIndex=0, PortIfIndex=6, TrunkId=1, TrunkName=Eth-Trunk1, PortName=GE1/0/1, Reason=A link fault occurred or negotiation information synchronization failed.)
Jun 16 2026 06:32:04 Core_SW_02 %%01LACP/2/hwLacpStateDown_active(l):CID=0x80480454-alarmID=0x09362015;The LACP status of the member port changes to down. (TrunkIndex=53,PortIfIndex=6,TrunkId=1,TrunkName=Eth-Trunk1,PortName=GE1/0/1,Reason=LACP negotiation fails.)
Jun 16 2026 06:31:10 Core_SW_02 %%01VRRP/4/vrrpTrapMasterDown(l):CID=0x80250453;The VRRP status changed from master to another state. (ifIndex=46, VrId=2, MasterIpAddr=10.1.20.253, sysName=Core_SW_02, ifName=Vlanif20, CurrentState=backup, ChangeReason=priority calculation)
Jun 16 2026 06:31:09 Core_SW_02 %%01VRRP/4/vrrpTrapNewMaster(l):CID=0x80250453;The VRRP status changed to master. (ifIndex=46, VrId=2, MasterIPAddress=10.1.20.252, sysName=Core_SW_02, ifName=Vlanif20, ChangeReason=protocol timer expired)
Jun 16 2026 06:31:06 Core_SW_02 %%01VRRP/4/vrrpTrapMasterDown(l):CID=0x80250453;The VRRP status changed from master to another state. (ifIndex=45, VrId=1, MasterIpAddr=10.1.10.253, sysName=Core_SW_02, ifName=Vlanif10, CurrentState=backup, ChangeReason=priority calculation)
Jun 16 2026 06:31:05 Core_SW_02 %%01VRRP/4/vrrpTrapNewMaster(l):CID=0x80250453;The VRRP status changed to master. (ifIndex=45, VrId=1, MasterIPAddress=10.1.10.252, sysName=Core_SW_02, ifName=Vlanif10, ChangeReason=protocol timer expired)
Jun 16 2026 06:26:16 Core_SW_02 %%01INFO/4/IM_SUPPRESS_LOG(l):CID=0x80600405;Last message repeated 1 time, InfoID=223612983.
Jun 16 2026 06:26:13 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 2, port name is GE1/0/6, pwName is -. (VlanId=0, SrcMac=7425-8ae3-f9c1)
Jun 16 2026 06:25:50 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 2, port name is GE1/0/5, pwName is -. (VlanId=0, SrcMac=7425-8ae3-5e94)
Jun 16 2026 06:25:43 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 1, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:25:43 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 1, port name is GE1/0/4, pwName is -. (VlanId=0, SrcMac=7425-8ae3-f862)
Jun 16 2026 06:25:43 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 1, port name is GE1/0/3, pwName is -. (VlanId=0, SrcMac=7425-8ae3-9a57)
Jun 16 2026 06:25:38 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_DISCARDING(l):CID=0x80547543;The MSTP process's port has been set to discarding state. (ProcessID=0, InstanceID=1, PortID=5, IfIndex=9, PortName=GE1/0/4, PwName=-)
Jun 16 2026 06:25:38 Core_SW_02 %%01MSTP/4/PORT_STATE_DISCARDING(l):CID=0x80547543;The port has been set to discarding state. (InstanceID=1, PortIndex=9, IfIndex=9, PortName=GE1/0/4, PwName=-)
Jun 16 2026 06:25:26 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 1, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:25:23 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 1, port name is GE1/0/3, pwName is -. (VlanId=0, SrcMac=7425-8ae3-9a57)
Jun 16 2026 06:25:22 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 1, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:25:21 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_DISCARDING(l):CID=0x80547543;The MSTP process's port has been set to discarding state. (ProcessID=0, InstanceID=1, PortID=4, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 06:25:21 Core_SW_02 %%01MSTP/4/PORT_STATE_DISCARDING(l):CID=0x80547543;The port has been set to discarding state. (InstanceID=1, PortIndex=8, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 06:23:03 Core_SW_02 %%01INFO/4/SUPPRESS_LOGINFO(l):CID=0x80600405;Log LLDP/LLDP_INTERFACE_REM_CHANGE is suppressed 16 in last 3600 seconds, Source=0x80a5045a.
Jun 16 2026 06:07:32 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 2, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:07:29 Core_SW_02 %%01INFO/4/IM_SUPPRESS_LOG(l):CID=0x80600405;Last message repeated 1 time, InfoID=223612983.
Jun 16 2026 06:07:16 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 2, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:06:45 Core_SW_02 %%01MSTP/1/TOPOLOGY_CHANGE(l):CID=0x80547543;Bridge topology changed.
Jun 16 2026 06:06:45 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_FORWARDING(l):CID=0x80547543;The MSTP process's port has been set to forwarding state. (ProcessID=0, InstanceID=1, PortID=5, IfIndex=9, PortName=GE1/0/4, PwName=-)
Jun 16 2026 06:06:45 Core_SW_02 %%01MSTP/4/PORT_STATE_FORWARDING(l):CID=0x80547543;The port has been set to forwarding state. (InstanceID=1, PortIndex=9, IfIndex=9, PortName=GE1/0/4, PwName=-)
Jun 16 2026 06:06:45 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_LEARNING(l):CID=0x80547543;The MSTP process's port has been set to learning state. (ProcessID=0, InstanceID=1, PortID=5, IfIndex=9, PortName=GE1/0/4, PwName=-)
Jun 16 2026 06:06:24 Core_SW_02 %%01INFO/4/IM_SUPPRESS_LOG(l):CID=0x80600405;Last message repeated 1 time, InfoID=223612983.
Jun 16 2026 06:06:21 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 1, port name is GE1/0/4, pwName is -. (VlanId=0, SrcMac=7425-8ae3-f862)
Jun 16 2026 06:06:21 Core_SW_02 %%01MSTP/1/TOPOLOGY_CHANGE(l):CID=0x80547543;Bridge topology changed.
Jun 16 2026 06:06:21 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_FORWARDING(l):CID=0x80547543;The MSTP process's port has been set to forwarding state. (ProcessID=0, InstanceID=1, PortID=4, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 06:06:21 Core_SW_02 %%01MSTP/4/PORT_STATE_FORWARDING(l):CID=0x80547543;The port has been set to forwarding state. (InstanceID=1, PortIndex=8, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 06:06:21 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_LEARNING(l):CID=0x80547543;The MSTP process's port has been set to learning state. (ProcessID=0, InstanceID=1, PortID=4, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 06:02:42 Core_SW_02 %%01OSPF/2/ospfNbrStateChange_clear(l):CID=0x80830457-alarmID=0x08900005-clearType=service_resume;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.2, NbrIpAddress=10.1.200.13, NbrAddressLessIndex=0, NbrRtrId=10.1.254.4, NbrState=8, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=52, LocalIfIpAddress=10.1.200.14, IfName=Vlanif204, VpnName=_public_, Reason=Alarm clear, SubReason=neighbor full)
Jun 16 2026 06:02:37 Core_SW_02 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/9, RemoteChassisType=macAddress, RemoteChassisId=0c19-210c-0000, RemotePortIdType=interfaceName, RemotePortId=GigabitEthernet1/0/2, RemoteSystemName=FW_02, RemoteSystemDescription=FW_02, Huawei Versatile Routing Platform Software, Software Version : USG6000V2 V500R005C00SPC100 (VRP (R) Software, Version 5.170), Copyright (C) 2014-2018 Huawei Technologies Co., Ltd., RemoteSystemCapabilitySupported=router, RemoteSystemCapabilityEnabled=router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.4)
Jun 16 2026 06:02:37 Core_SW_02 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun 16 2026 06:02:31 Core_SW_02 %%01OSPF/3/NBR_DOWN_REASON(l):CID=0x80830457;Neighbor state left full or changed to Down. (ProcessId=1, NeighborRouterId=10.1.254.4, NeighborIp=10.1.200.13, NeighborAreaId=0.0.0.0, NeighborInterface=Vlanif204, NeighborDownImmediate reason=Neighbor Down Due to 1-Wayhello Received, NeighborDownPrimeReason=1-Wayhello Received, CpuUsage=13%, VpnName=_public_, IfMTU=1500, LocalIp=10.1.200.14,SystemInfo=Avai:484535400, Com:83357892, mlo:83764, cpu:16, pin:1263690622, pout:4294967295, kernelRat:8.70, NiceRate:0.4, IowaitRate:0.0, HardIrqRate:0.51, SoftIrqRate:0.93, StealstolenRate:0.0)
Jun 16 2026 06:02:31 Core_SW_02 %%01OSPF/2/ospfNbrStateChange_active(l):CID=0x80830457-alarmID=0x08900005;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.2, NbrIpAddress=10.1.200.13, NbrAddressLessIndex=0, NbrRtrId=10.1.254.4, NbrState=1, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=52, LocalIfIpAddress=10.1.200.14, IfName=Vlanif204, VpnName=_public_, Reason=Peer router reason, SubReason=1-Wayhello Received)
Jun 16 2026 06:02:27 Core_SW_02 %%01OSPF/2/ospfLsaRetranExceedLimit_clear(l):CID=0x80830457-alarmID=0x00f1ffc5-clearType=service_resume;The number of OSPF LSA retransmissions on an interface is lower than the limit. (ProcessId=1, AreaId=0.0.0.1, InterfaceName=Vlanif30)
Jun 16 2026 06:02:26 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_FORWARDING(l):CID=0x80547543;The MSTP process's port has been set to forwarding state. (ProcessID=0, InstanceID=0, PortID=42, IfIndex=54, PortName=Eth-Trunk2, PwName=-)
Jun 16 2026 06:02:26 Core_SW_02 %%01MSTP/4/PORT_STATE_FORWARDING(l):CID=0x80547543;The port has been set to forwarding state. (InstanceID=0, PortIndex=54, IfIndex=54, PortName=Eth-Trunk2, PwName=-)
Jun 16 2026 06:02:26 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_LEARNING(l):CID=0x80547543;The MSTP process's port has been set to learning state. (ProcessID=0, InstanceID=0, PortID=42, IfIndex=54, PortName=Eth-Trunk2, PwName=-)
Jun 16 2026 06:02:26 Core_SW_02 %%01OSPF/2/ospfLsaRetranExceedLimit_clear(l):CID=0x80830457-alarmID=0x00f1ffc5-clearType=service_resume;The number of OSPF LSA retransmissions on an interface is lower than the limit. (ProcessId=1, AreaId=0.0.0.1, InterfaceName=Vlanif40)
Jun 16 2026 06:02:22 Core_SW_02 %%01OSPF/2/ospfLsaRetranExceedLimit_clear(l):CID=0x80830457-alarmID=0x00f1ffc5-clearType=service_resume;The number of OSPF LSA retransmissions on an interface is lower than the limit. (ProcessId=1, AreaId=0.0.0.1, InterfaceName=Vlanif10)
Jun 16 2026 06:02:22 Core_SW_02 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Eth-Trunk2, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk2)
Jun 16 2026 06:02:22 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_DISCARDING(l):CID=0x80547543;The MSTP process's port has been set to discarding state. (ProcessID=0, InstanceID=0, PortID=42, IfIndex=54, PortName=Eth-Trunk2, PwName=-)
Jun 16 2026 06:02:22 Core_SW_02 %%01MSTP/4/PORT_STATE_DISCARDING(l):CID=0x80547543;The port has been set to discarding state. (InstanceID=0, PortIndex=54, IfIndex=54, PortName=Eth-Trunk2, PwName=-)
Jun 16 2026 06:02:22 Core_SW_02 %%01IFNET/2/linkDown_active(l):CID=0x807a040f-alarmID=0x08520003;The interface status changes. (ifName=Eth-Trunk2, AdminStatus=UP, OperStatus=DOWN, Reason=The conditions for the activation of the interface are not met, mainIfname=Eth-Trunk2)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 3, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 3, port name is GE1/0/6, pwName is -. (VlanId=0, SrcMac=7425-8ae3-f9c1)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 3, port name is GE1/0/5, pwName is -. (VlanId=0, SrcMac=7425-8ae3-5e94)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 3, port name is GE1/0/4, pwName is -. (VlanId=0, SrcMac=7425-8ae3-f862)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 3, port name is GE1/0/3, pwName is -. (VlanId=0, SrcMac=7425-8ae3-9a57)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 1, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 1, port name is GE1/0/4, pwName is -. (VlanId=0, SrcMac=7425-8ae3-f862)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 1, port name is GE1/0/3, pwName is -. (VlanId=0, SrcMac=7425-8ae3-9a57)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 0, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 0, port name is GE1/0/6, pwName is -. (VlanId=0, SrcMac=7425-8ae3-f9c1)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 0, port name is GE1/0/5, pwName is -. (VlanId=0, SrcMac=7425-8ae3-5e94)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 0, port name is GE1/0/4, pwName is -. (VlanId=0, SrcMac=7425-8ae3-f862)
Jun 16 2026 06:02:19 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 0, port name is GE1/0/3, pwName is -. (VlanId=0, SrcMac=7425-8ae3-9a57)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 3, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 3, port name is GE1/0/6, pwName is -. (VlanId=0, SrcMac=7425-8ae3-f9c1)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 3, port name is GE1/0/5, pwName is -. (VlanId=0, SrcMac=7425-8ae3-5e94)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 2, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 1, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 0, port name is Eth-Trunk1, pwName is -. (VlanId=0, SrcMac=3807-0011-1200)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 0, port name is GE1/0/6, pwName is -. (VlanId=0, SrcMac=7425-8ae3-f9c1)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 0, port name is GE1/0/5, pwName is -. (VlanId=0, SrcMac=7425-8ae3-5e94)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_DISCARDING(l):CID=0x80547543;The MSTP process's port has been set to discarding state. (ProcessID=0, InstanceID=3, PortID=4, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_DISCARDING(l):CID=0x80547543;The MSTP process's port has been set to discarding state. (ProcessID=0, InstanceID=1, PortID=4, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/PORT_STATE_DISCARDING(l):CID=0x80547543;The port has been set to discarding state. (InstanceID=3, PortIndex=8, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/PORT_STATE_DISCARDING(l):CID=0x80547543;The port has been set to discarding state. (InstanceID=1, PortIndex=8, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_DISCARDING(l):CID=0x80547543;The MSTP process's port has been set to discarding state. (ProcessID=0, InstanceID=0, PortID=4, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 06:02:15 Core_SW_02 %%01MSTP/4/PORT_STATE_DISCARDING(l):CID=0x80547543;The port has been set to discarding state. (InstanceID=0, PortIndex=8, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 06:02:14 Core_SW_02 %%01MSTP/4/RECEIVE_MSTITC(l):CID=0x80547543;MSTP received BPDU with TC, MSTP process 0 instance 2, port name is GE1/0/5, pwName is -. (VlanId=0, SrcMac=7425-8ae3-5e94)
Jun 16 2026 06:02:14 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_DISCARDING(l):CID=0x80547543;The MSTP process's port has been set to discarding state. (ProcessID=0, InstanceID=0, PortID=7, IfIndex=11, PortName=GE1/0/6, PwName=-)
Jun 16 2026 06:02:14 Core_SW_02 %%01MSTP/4/PORT_STATE_DISCARDING(l):CID=0x80547543;The port has been set to discarding state. (InstanceID=0, PortIndex=11, IfIndex=11, PortName=GE1/0/6, PwName=-)
Jun 16 2026 06:02:14 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_DISCARDING(l):CID=0x80547543;The MSTP process's port has been set to discarding state. (ProcessID=0, InstanceID=3, PortID=6, IfIndex=10, PortName=GE1/0/5, PwName=-)
Jun 16 2026 06:02:14 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_DISCARDING(l):CID=0x80547543;The MSTP process's port has been set to discarding state. (ProcessID=0, InstanceID=0, PortID=6, IfIndex=10, PortName=GE1/0/5, PwName=-)
