
PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
 4052   4239360  411857600   80097280    ffb3ec90/ffffffff  npacl
 4060  22429696  499202342   224452608   ffa8a900/ffffffff  adjmgr
 4062   7467008  486369984   198254592   ffa10360/ffffffff  u6rib
 4071   2363392  153411315   47562752    fffdef50/ffffffff  ExceptionLog
 4075   1822720  150757516   49930240    ffe3c650/ffffffff  bootvar
 4080   7905280  131413990   60841984    ffba6960/ffffffff  ifmgr
 4082   3149824  0           49721344    fff8c750/ffffffff  tcap
 4086   5517312  222329113   55918592    ffdf9d00/ffffffff  callhome
 4104  55226368  622290828   300777472   ffe6f440/ffffffff  arp
 4109   8937472  495088320   235565056   ff9bd790/ffffffff  icmpv6
 4131  15745024  383801228   83480576    ffaa4760/ffffffff  l2fwd
 4132  18079744  447208537   131846144   ff9f1d60/ffffffff  pktmgr
 4162  46436352  728239180   335732736   ffdba130/ffffffff  netstack
 4200   3383296  345193824   169877504   ffe11b80/ffffffff  radius
 4203   3080192  319045504   170541056   ffdf7a90/ffffffff  cdp
 4208  11227136  444699059   59813888    ffeebe30/ffffffff  cfs
 4211    417792  103569382   23822336    fff74690/ffffffff  ip_dummy
 4212    417792  103569382   23822336    ffb85950/ffffffff  ipv6_dummy
 4213   3244032  382418009   50855936    ffe516d0/ffffffff  ntp
 4214   3944448  481815232   210845696   ffa6f480/ffffffff  otm
 4215    417792  103569382   23822336    ffff4dd0/ffffffff  tcpudp_dummy
 4225   2056192  196164812   43098112    ffeddd90/ffffffff  dcos-xinetd
 4253   1519616  0           42655744    ff9b2470/ffffffff  ntpd
 5008  45924352  176498009   103755776   ffa1aa10/ffffffff  vlan_mgr
 5015   8593408  499215859   231473152   ff8cb950/ffffffff  rpm
 5016   2863104  139198329   53444608    ffe49020/ffffffff  pltfm_config
 5017   4980736  199220736   53538816    ffd8fd00/ffffffff  plsm
 5018   6184960  386180185   57331712    fff89960/ffffffff  plcmgr
 5023  21864448  142504102   70811648    ffcc5300/ffffffff  pixmc
 5024   4509696  387671539   54579200    ffc74ae0/ffffffff  pfstat
 5031   4771840  169681036   58208256    ff8dbec0/ffffffff  mtm
 5037  73433088  350644236   124407808   ffd6ea10/ffffffff  lim
 5038   4210688  121779187   52752384    ff873f40/ffffffff  l2sfe
 5041  11866112  422846054   87916544    ffd048c0/ffffffff  l2rib
 5044   4812800  121783692   51277824    fff0a5a0/ffffffff  l2fm_ut
 5047  11141120  395219052   80273408    ff893d10/ffffffff  l2fm
 5050  21073920  734872409   261033984   ffbfdab0/ffffffff  igmp
 5053   5795840  128829113   57970688    ff91e210/ffffffff  eth_port_channel
 5056  13135872  145794528   65298432    ffa03fc0/ffffffff  eltm
 5059   2334720  121062796   49795072    ffa4ca10/ffffffff  elo_io
 5064   3178496  384179699   51810304    fffb4b90/ffffffff  ecp
 5065   7467008  0           57757696    fffb9090/ffffffff  dftm
 5071  28839936  191482368   78422016    ffbea490/ffffffff  bfdc
 5076   3198976  337312307   56311808    ffe2f250/ffffffff  adbm
 5144  12873728  255156800   230227968   fffc58f0/ffffffff  ethpm
 5182   9113600  388333721   111640576   ff8d79d0/ffffffff  stp
 5585   5341184  339610163   59682816    ffde2430/ffffffff  copp
 5908   2740224  122184691   50741248    ff9230c0/ffffffff  u2
 5909   6340608  773496064   56164352    ff94cf00/ffffffff  spm
 5910   2867200  485113331   188772352   ffc6b820/ffffffff  sal
 5911  18501632  610554022   256774144   ff8cd390/ffffffff  mrib
 5912  10092544  499649497   64000000    ff996600/ffffffff  mfdm
 5913   3018752  122081062   55160832    ffa9fdf0/ffffffff  mcm
 5914   7073792  489208921   226971648   ffb2c770/ffffffff  m6rib
 5915   3112960  384873561   53415936    ff83aa90/ffffffff  l2pt
 5917  23916544  407225843   101900288   ff893f80/ffffffff  ufdm
 5919  10731520  525208921   61091840    ffc761b0/ffffffff  m2rib
 5934   8728576  441899980   238886912   ff99f9c0/ffffffff  mcastfwd
 6019    802816  419430400   10792960    ffd740e0/ffffffff  login
 6021    192512  0           2953216     ffe92960/ffffffff  gettylogin1
 6025    196608  0           2957312     ff924e10/ffffffff  sh
 6033  13033472  0           18337792    ffeae2a0/ffffffff  libvirtd
 9804   2809856  419430400   101236736   ff8a14c0/ffffffff  vsh
 9862   4980736  167892313   56926208    ffd76460/ffffffff  interface-vlan
 9865  19189760  180266521   73478144    ff9db1a0/ffffffff  lldp
21450   7827456  418483814   226746368   ffc65300/ffffffff  bfd
21453   2756608  224785395   171098112   ffb28170/ffffffff  bfd_app

All processes: MemAlloc = 1030336512
