Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 0
Current messages : 47

Jun 15 2026 09:45:18 HQ_MKT_AP01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=1, Deleted=1, Dropped=0, Aged=0)
Jun 15 2026 08:48:00 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=added, Added=1, Deleted=0, RemoteInterfaceName=GE1/0/0, RemoteDeviceManageAddress=10.1.100.11)
Jun 15 2026 08:48:00 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=380b-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/0, RemoteSystemName=HQ_MKT_AP01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.100.11)
Jun 15 2026 08:48:00 HQ_MKT_AP01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun 15 2026 02:19:19 HQ_MKT_AP01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun 15 2026 02:19:19 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=HundredGigE1/0/4, RemoteDeviceManageAddress=7425-8ae3-b19c)
Jun 15 2026 02:19:19 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-b19c, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/4, RemoteSystemName=AGG_SW_01, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=7425-8ae3-b19c)
Jun 15 2026 01:51:29 HQ_MKT_AP01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=1, Deleted=1, Dropped=0, Aged=0)
Jun 15 2026 01:51:25 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=added, Added=1, Deleted=0, RemoteInterfaceName=HundredGigE1/0/4, RemoteDeviceManageAddress=7425-8ae3-b19c)
Jun 15 2026 01:51:25 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-b19c, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/4, RemoteSystemName=AGG_SW_01, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=7425-8ae3-b19c)
Jun 15 2026 01:51:25 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=HundredGigE1/0/4, RemoteDeviceManageAddress=0cfb-69df-0004)
Jun 15 2026 01:51:25 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-b19c, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/4, RemoteSystemName=AGG_SW_01, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=0cfb-69df-0004)
Jun 15 2026 01:51:24 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=added, Added=1, Deleted=0, RemoteInterfaceName=HundredGigE1/0/4, RemoteDeviceManageAddress=0cfb-69df-0004)
Jun 15 2026 01:51:24 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-b19c, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/4, RemoteSystemName=AGG_SW_01, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=0cfb-69df-0004)
Jun 15 2026 01:51:24 HQ_MKT_AP01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun 15 2026 01:32:28 HQ_MKT_AP01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun 15 2026 01:32:28 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=HundredGigE1/0/4, RemoteDeviceManageAddress=7425-8ae3-b19c)
Jun 15 2026 01:32:28 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-b19c, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/4, RemoteSystemName=AGG_SW_01, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=7425-8ae3-b19c)
Jun 11 2026 07:46:47 HQ_MKT_AP01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=1, Deleted=1, Dropped=0, Aged=0)
Jun 11 2026 07:46:43 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=added, Added=1, Deleted=0, RemoteInterfaceName=HundredGigE1/0/4, RemoteDeviceManageAddress=7425-8ae3-b19c)
Jun 11 2026 07:46:43 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-b19c, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/4, RemoteSystemName=AGG_SW_01, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=7425-8ae3-b19c)
Jun 11 2026 07:46:43 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=HundredGigE1/0/4, RemoteDeviceManageAddress=0cfb-69df-0004)
Jun 11 2026 07:46:43 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-b19c, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/4, RemoteSystemName=AGG_SW_01, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=0cfb-69df-0004)
Jun 11 2026 07:46:42 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=added, Added=1, Deleted=0, RemoteInterfaceName=HundredGigE1/0/4, RemoteDeviceManageAddress=0cfb-69df-0004)
Jun 11 2026 07:46:42 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-b19c, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/4, RemoteSystemName=AGG_SW_01, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=0cfb-69df-0004)
Jun 11 2026 07:46:42 HQ_MKT_AP01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun 11 2026 07:25:45 HQ_MKT_AP01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=0, ProtocolID=STATIC, SubProtocolID=Static, ExitIf=Vlanif100, Nexthop=10.1.100.254, Neighbour=, Preference=60, Metric=0, IndirectID=16777313)
Jun 11 2026 07:25:44 HQ_MKT_AP01 %%01CONFIGURATION/3/ROLLBACK_FAIL(l):CID=0x80cb000c;Configuration rollback finished, but some warnings occurred or there are still several differences.
Jun 11 2026 07:25:44 HQ_MKT_AP01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vlanif100, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vlanif100)
Jun 11 2026 07:25:44 HQ_MKT_AP01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/2, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/2)
Jun 11 2026 07:25:44 HQ_MKT_AP01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/1, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/1)
Jun 11 2026 07:25:44 HQ_MKT_AP01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/0, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/0)
Jun 11 2026 06:36:19 HQ_MKT_AP01 %%01SSHS/4/CALLHOME_RECORD(s):CID=0x8093753f;Callhome function maintenance information is collected. (Details =No active configuration present for callhome)
Jun 11 2026 06:35:53 HQ_MKT_AP01 %%01SYSTEM/2/hwStorageUtilizationRisingAlarm_active(l):CID=0x80020028-alarmID=0x00010085;The storage usage exceeded the pre-set overload threshold. (TrapSeverity=4, ProbableCause=75265, EventType=3, PhysicalIndex=17891329, PhysicalName=MPU slot 17, RelativeResource=cfcard, UsageType=5, SubIndex=1, UsageValue=99, Unit=1, UsageThreshold=85)
Jun 11 2026 06:35:50 HQ_MKT_AP01 %%01SNMP/4/SNMP_RESET(l):CID=0x80d50407;SNMP was switched to a new process.
Jun 11 2026 06:35:49 HQ_MKT_AP01 %%01VTY/3/hwVtyExceed_active(l):CID=0x80c87541-alarmID=0x00f102ee;The number of available VTY channels is lower than the threshold. (currentLoginVTYs=0, totalVTYs=0)
Jun 11 2026 06:35:44 HQ_MKT_AP01 %%01LCS/4/LCS_STATE_CHANGED(l):CID=0x802b03f4;License state changed from Default to Default.
